datetime,open,high,low,close,returns,log_ma_7,log_ma_14,log_ma_28,ema_crossover,macdh
2019-10-08,164.3000030517578,165.22000122070312,161.67999267578125,161.92999267578125,-0.03796348841720898,-0.003460819860279306,-0.007509196253168991,-0.0011390031668091756,0.9736538282454212,-1.2878308775143388
2019-10-09,165.5,166.5800018310547,163.4199981689453,165.19000244140625,0.020132217088110638,-0.001747767155668732,-0.006389880147962712,-0.0015659350742372885,0.9731267728491912,-1.1709302570111166
2019-10-10,165.9600067138672,168.57000732421875,164.08999633789062,166.07000732421875,0.005327228463021694,0.0007886010045042568,-0.00692542261218652,-0.0018444513003997576,0.9750045419552649,-0.9707956589538027
2019-10-11,170.77000427246094,174.8800048828125,169.57000732421875,172.94000244140625,0.04136806656348968,0.006124636900685828,-0.0017092329486381695,0.00010919715757581915,0.9854949240873964,-0.34450317988561086
2019-10-14,172.83999633789062,173.33999633789062,170.7899932861328,171.16000366210938,-0.010292579820564973,0.001429660379829606,-0.00016515495598339107,-0.0006533014453481057,0.9922917345679632,-0.035171693779833646
2019-10-15,172.91000366210938,176.75,172.69000244140625,175.2899932861328,0.02412940836444788,0.004200525431563238,-0.0005803813189533307,-0.000752755401057622,1.0001332395639562,0.43652093133825653
2019-10-16,175.8000030517578,177.35000610351562,174.1199951171875,177.1199951171875,0.0104398533923582,0.007424304557302184,0.0008979568344627278,8.870849081192048e-05,1.0073609664682004,0.8374766988294302
2019-10-17,178.0,178.58999633789062,175.22999572753906,176.85000610351562,-0.0015243282583270457,0.012463001189695892,0.004591537786563936,-0.00019186955195988898,1.013097274787731,1.0371519219312033
2019-10-18,176.0,176.22999572753906,169.0,169.1300048828125,-0.04365281851437641,0.0032654057339420593,0.0008004116859447692,-0.0012098416914583985,1.0095949423625095,0.6223948406289923
2019-10-21,172.63999938964844,173.91000366210938,170.8699951171875,173.52000427246094,0.02595636056825157,0.006145436366414879,0.0035184038895186075,-0.0005310564893975751,1.0073986378600064,0.6156791300574413
2019-10-22,174.52999877929688,175.36000061035156,169.25999450683594,169.88999938964844,-0.020919806324535717,-0.002511356364280223,0.0017273385621968313,-0.0017273728665395313,1.0051624963480499,0.351846700477595
2019-10-23,170.4499969482422,171.0399932861328,168.1199951171875,169.9199981689453,0.00017657766439849176,-0.001022819998688601,0.00018429807552081427,-0.0019170453912978104,1.0001997539828427,0.17345997800122237
2019-10-24,171.27999877929688,172.75,170.2100067138672,172.5500030517578,0.015477900842475245,-0.0022638008763703832,0.0009251632556318515,-0.0009381008865841081,0.9997971690644689,0.2235112612019889
2019-10-25,171.55999755859375,175.80999755859375,170.8800048828125,174.30999755859375,0.010199910030184167,-0.0023269766251847518,0.0025032621111054404,-0.0009743142272139197,1.0016535381353524,0.3580878327424647
2019-10-28,176.5,179.63999938964844,176.41000366210938,178.67999267578125,0.025070249431439207,0.001516038151900223,0.006966872210465328,-0.00027439328918146144,1.0094989978578048,0.704336478140688
2019-10-29,177.05999755859375,177.74000549316406,175.44000244140625,176.88999938964844,-0.010017871947089252,0.006403291612292901,0.004837777489239443,-0.0007424839246570643,1.0125209294177924,0.7703847581727917
2019-10-30,175.4199981689453,177.8800048828125,173.93600463867188,177.52999877929688,0.0036180642877310376,0.0032929162502056456,0.004715957564703267,-0.0010366526052318899,1.013155904911341,0.8106671105633805
